source,target,weight,source_name,target_name
Q157062,Q334204,12,Unilever,Morgan Stanley
Q3511885,Q9396,12,T-Mobile US,Deutsche Telekom
Q1472929,Q248,12,"Nasdaq, Inc.",Intel
Q155026,Q459477,12,United Parcel Service,FedEx
Q1194832,Q666694,12,Toronto-Dominion Bank,Canadian Imperial Bank of Commerce
Q1155668,Q312,12,NXP Semiconductors,Apple Inc.
Q122141,Q9396,12,Vodafone,Deutsche Telekom
Q11407,Q877536,11,VMware,Dell EMC
Q1655409,Q170614,11,Iamgold,Ryanair
Q2529982,Q3208192,11,The New York Times Company,Stepan Company
Q66,Q768773,11,Boeing,MSCI
Q116452644,Q214346,11,"Netflix, Inc.",Viacom
Q1472929,Q219508,11,"Nasdaq, Inc.",Citigroup
Q1519267,Q95,11,Omnicom Group,Google
Q27500963,Q877536,11,Dell Technologies,Dell EMC
Q2529982,Q3884,11,The New York Times Company,Amazon
Q1652574,Q835456,11,Manulife Financial,Sun Life Financial
Q35476,Q3884,11,AT&T,Amazon
Q206921,Q333718,11,Pfizer,Johnson & Johnson
Q570473,Q898750,11,McKesson Corporation,Teva Pharmaceutical Industries Ltd.
Q2283,Q35476,11,Microsoft,AT&T
Q116452644,Q35476,11,"Netflix, Inc.",AT&T
Q487907,Q66048,11,Bank of America,Deutsche Bank
Q5376211,Q570473,11,Endo International plc,McKesson Corporation
Q3884,Q478214,11,Amazon,Tesla
Q372657,Q487907,11,Credit Suisse,Bank of America
Q312,Q41187,11,Apple Inc.,Sony Group
Q619111,Q619121,11,Apollo Group,Apollo Global Management
Q122141,Q571779,11,Vodafone,Liberty Global
Q190464,Q219508,11,HSBC,Citigroup
Q312,Q37156,11,Apple Inc.,IBM
Q116452644,Q1472929,11,"Netflix, Inc.","Nasdaq, Inc."
Q193326,Q219635,11,Goldman Sachs,BlackRock
Q1472929,Q15589464,11,"Nasdaq, Inc.",Dropbox Inc.
Q899133,Q905049,10,Takeda Pharmaceutical Company,Shire plc
Q192314,Q219508,10,JPMorgan Chase,Citigroup
Q190464,Q372657,10,HSBC,Credit Suisse
Q14772,Q15913890,10,Baidu,iQIYI
Q483551,Q58024,10,Walmart,eBay
Q193199,Q245343,10,UBS,Barclays plc
Q188920,Q66,10,Delta Air Lines,Boeing
Q20165,Q53268,10,Nissan,Toyota
Q734779,Q7893929,10,Comscore,Universal Corporation
Q333718,Q902397,10,Johnson & Johnson,Cardinal Health
Q333718,Q5376211,10,Johnson & Johnson,Endo International plc
Q1129792,Q1472929,10,The Cooper Companies,"Nasdaq, Inc."
Q157062,Q19681433,10,Unilever,Kraft Heinz
Q1472929,Q4972280,10,"Nasdaq, Inc.",Broadridge Financial Solutions
Q478214,Q53268,10,Tesla,Toyota
Q14772,Q95,10,Baidu,Google
Q193326,Q768773,10,Goldman Sachs,MSCI
Q26049,Q624375,10,Aetna,CVS Health
Q19900,Q37156,10,Oracle Corporation,IBM
Q1472929,Q470517,10,"Nasdaq, Inc.",Amgen
Q66,Q7240,10,Boeing,Lockheed Martin
Q1915079,Q5095516,10,McDermott International,Chicago Bridge & Iron Company
Q108770716,Q544847,10,Samsara,Qualcomm
Q13218598,Q372657,10,NatWest Group,Credit Suisse
Q248,Q35476,9,Intel,AT&T
Q1197548,Q1472929,9,Micron Technology,"Nasdaq, Inc."
Q1045758,Q66,9,United Technologies Corporation,Boeing
Q1472929,Q66,9,"Nasdaq, Inc.",Boeing
Q2283,Q58024,9,Microsoft,eBay
Q19873469,Q312,9,Bio-Techne,Apple Inc.
Q55931,Q81965,9,Hyundai Motor Company,General Motors
Q1652574,Q735261,9,Manulife Financial,Royal Bank of Canada
Q15678788,Q26678,9,Fiat Chrysler Automobiles,BMW Group
Q333718,Q570473,9,Johnson & Johnson,McKesson Corporation
Q1046951,Q5479360,9,Target Corporation,"Macy's, Inc."
Q105965677,Q458363,9,MPLX,Marathon Petroleum
Q334204,Q483551,9,Morgan Stanley,Walmart
Q1359568,Q3884,9,Alibaba Group,Amazon
Q154950,Q157062,9,Shell,Unilever
Q328840,Q489921,9,Visa,Mastercard
Q44294,Q478214,9,Ford Motor Company,Tesla
Q17141393,Q60748073,9,SJW Group,"Connecticut Water Service, Inc."
Q2529982,Q95,9,The New York Times Company,Google
Q128896,Q312,9,AMD,Apple Inc.
Q1032229,Q1516410,9,Canadian Natural Resources,Suncor Energy
Q193326,Q744149,9,Goldman Sachs,Wells Fargo
Q1283291,Q16979157,9,Valero Energy,PBF Energy
Q780442,Q81965,9,Uber,General Motors
Q1410766,Q1472929,9,Fibria,"Nasdaq, Inc."
Q459965,Q496302,9,Caterpillar,Deere & Company
Q219508,Q880942,9,Citigroup,Blackstone Group
Q192314,Q334204,9,JPMorgan Chase,Morgan Stanley
Q19900,Q2283,9,Oracle Corporation,Microsoft
Q193326,Q735261,9,Goldman Sachs,Royal Bank of Canada
Q16981175,Q5203782,9,Lennar Corporation,D. R. Horton
Q11407,Q27500963,9,VMware,Dell Technologies
Q108770716,Q2283,9,Samsara,Microsoft
Q3884,Q66048,9,Amazon,Deutsche Bank
Q212322,Q731938,9,GSK,AstraZeneca
Q642610,Q66,9,Hawaiian Airlines,Boeing
Q247489,Q731938,9,Merck & Co.,AstraZeneca
Q108770716,Q37156,9,Samsara,IBM
Q219508,Q735261,9,Citigroup,Royal Bank of Canada
Q128896,Q2283,9,AMD,Microsoft
Q1519267,Q157062,9,Omnicom Group,Unilever
Q26678,Q81230,9,BMW Group,Siemens
Q19923099,Q2283,9,Hewlett Packard Enterprise,Microsoft
Q1472929,Q66048,9,"Nasdaq, Inc.",Deutsche Bank
Q182477,Q478214,9,Nvidia,Tesla
Q1359568,Q334204,9,Alibaba Group,Morgan Stanley
Q116452644,Q20800404,8,"Netflix, Inc.",Alphabet Inc.
Q478214,Q689791,8,Tesla,ISS
Q19923099,Q37156,8,Hewlett Packard Enterprise,IBM
Q248,Q6723256,8,Intel,Macerich
Q334204,Q735261,8,Morgan Stanley,Royal Bank of Canada
Q1339966,Q735261,8,Enbridge,Royal Bank of Canada
Q1652574,Q666694,8,Manulife Financial,Canadian Imperial Bank of Commerce
Q206921,Q899010,8,Pfizer,Mylan
Q312,Q467752,8,Apple Inc.,Verizon Communications
Q27530,Q478214,8,Mercedes-Benz Group,Tesla
Q1113804,Q3884,8,Comcast,Amazon
Q155026,Q3884,8,United Parcel Service,Amazon
Q312,Q713418,8,Apple Inc.,TSMC
Q15678788,Q478214,8,Fiat Chrysler Automobiles,Tesla
Q53268,Q55931,8,Toyota,Hyundai Motor Company
Q116452644,Q950380,8,"Netflix, Inc.",CBS Corporation
Q552581,Q95,8,SAP,Google
Q2283,Q552581,8,Microsoft,SAP
Q619121,Q880942,8,Apollo Global Management,Blackstone Group
Q116452644,Q5189378,8,"Netflix, Inc.",Crown Holdings
Q467752,Q95,8,Verizon Communications,Google
Q193326,Q2283,8,Goldman Sachs,Microsoft
Q157062,Q768773,8,Unilever,MSCI
Q192314,Q487907,8,JPMorgan Chase,Bank of America
Q1472929,Q6840048,8,"Nasdaq, Inc.",Microsemi
Q19873469,Q3884,8,Bio-Techne,Amazon
Q30635731,Q372657,8,"Cboe Global Markets, Inc.",Credit Suisse
Q15589464,Q2283,8,Dropbox Inc.,Microsoft
Q312,Q5450340,8,Apple Inc.,Finisar
Q312,Q66,8,Apple Inc.,Boeing
Q312,Q81965,8,Apple Inc.,General Motors
Q312,Q66048,8,Apple Inc.,Deutsche Bank
Q190464,Q856411,8,HSBC,British American Tobacco
Q248,Q3884,8,Intel,Amazon
Q663596,Q731938,8,Gilead Sciences,AstraZeneca
Q219635,Q372657,8,BlackRock,Credit Suisse
Q127278673,Q2283,8,LinkedIn Corporation,Microsoft
Q156238,Q319642,8,ExxonMobil,Chevron Corporation
Q1655409,Q407237,8,Iamgold,Air France-KLM
Q217583,Q312,8,Berkshire Hathaway,Apple Inc.
Q2529982,Q950380,8,The New York Times Company,CBS Corporation
Q27530,Q44294,8,Mercedes-Benz Group,Ford Motor Company
Q193326,Q3884,8,Goldman Sachs,Amazon
Q193199,Q856411,8,UBS,British American Tobacco
Q4048013,Q5377000,8,Range Resources,Energy Transfer
Q735261,Q835456,8,Royal Bank of Canada,Sun Life Financial
Q26678,Q9584,8,BMW Group,Honda
Q1339966,Q835456,8,Enbridge,Sun Life Financial
Q248,Q37156,8,Intel,IBM
Q666694,Q835456,8,Canadian Imperial Bank of Commerce,Sun Life Financial
Q66048,Q768773,7,Deutsche Bank,MSCI
Q44294,Q53268,7,Ford Motor Company,Toyota
Q20165,Q81965,7,Nissan,General Motors
Q245343,Q312,7,Barclays plc,Apple Inc.
Q1931458,Q19923099,7,Micro Focus International,Hewlett Packard Enterprise
Q6159625,Q667599,7,Jarden,Newell Brands
Q192314,Q372657,7,JPMorgan Chase,Credit Suisse
Q157062,Q856411,7,Unilever,British American Tobacco
Q214346,Q35476,7,Viacom,AT&T
Q245343,Q4972280,7,Barclays plc,Broadridge Financial Solutions
Q20800404,Q483551,7,Alphabet Inc.,Walmart
Q1152764,Q245343,7,Lloyds Banking Group,Barclays plc
Q552581,Q81230,7,SAP,Siemens
Q1472929,Q37156,7,"Nasdaq, Inc.",IBM
Q880942,Q926806,7,Blackstone Group,Carlyle Group
Q571779,Q9396,7,Liberty Global,Deutsche Telekom
Q334204,Q58024,7,Morgan Stanley,eBay
Q81965,Q9584,7,General Motors,Honda
Q1472929,Q54173,7,"Nasdaq, Inc.",General Electric
Q1472929,Q75256038,7,"Nasdaq, Inc.",Cronos Group Inc
Q312,Q37158,7,Apple Inc.,Starbucks
Q66048,Q81230,7,Deutsche Bank,Siemens
Q1339966,Q1652574,7,Enbridge,Manulife Financial
Q24525746,Q735261,7,BCE Inc.,Royal Bank of Canada
Q39046155,Q4048013,7,Antero Resources,Range Resources
Q13218598,Q66048,7,NatWest Group,Deutsche Bank
Q212322,Q507154,7,GSK,Novartis
Q1045758,Q461210,7,United Technologies Corporation,Rockwell Collins
Q135683211,Q312,7,PayPal Holdings,Apple Inc.
Q5203782,Q7259716,7,D. R. Horton,PulteGroup
Q3067064,Q48742870,7,Sociedad Química y Minera de Chile,Nutrien
Q128896,Q95,7,AMD,Google
Q14772,Q3598926,7,Baidu,JD.com
Q39046155,Q5377000,7,Antero Resources,Energy Transfer
Q13218598,Q334204,7,NatWest Group,Morgan Stanley
Q221062,Q38589917,7,DuPont,DowDuPont
Q7098806,Q744149,7,Optical Cable Corporation,Wells Fargo
Q66048,Q744149,7,Deutsche Bank,Wells Fargo
Q483551,Q715583,7,Walmart,Costco
Q333718,Q906187,7,Johnson & Johnson,Allergan plc
Q15678788,Q53268,7,Fiat Chrysler Automobiles,Toyota
Q194360,Q328840,7,American Express,Visa
Q20165,Q9584,7,Nissan,Honda
Q245343,Q487907,7,Barclays plc,Bank of America
Q30635731,Q841458,7,"Cboe Global Markets, Inc.",Intercontinental Exchange
Q902397,Q906187,7,Cardinal Health,Allergan plc
Q1472929,Q899010,7,"Nasdaq, Inc.",Mylan
Q26678,Q312,7,BMW Group,Apple Inc.
Q1472929,Q19873469,7,"Nasdaq, Inc.",Bio-Techne
Q19873469,Q95,7,Bio-Techne,Google
Q248,Q81965,7,Intel,General Motors
Q27893,Q81230,7,ArcelorMittal,Siemens
Q157062,Q190464,7,Unilever,HSBC
Q1472929,Q3077586,7,"Nasdaq, Inc.",Bilibili
Q898750,Q906187,7,Teva Pharmaceutical Industries Ltd.,Allergan plc
Q5376211,Q906187,7,Endo International plc,Allergan plc
Q372657,Q744149,7,Credit Suisse,Wells Fargo
Q1472929,Q459965,7,"Nasdaq, Inc.",Caterpillar
Q20165,Q27530,7,Nissan,Mercedes-Benz Group
Q372657,Q3884,7,Credit Suisse,Amazon
Q294721,Q734779,7,AMC Theatres,Comscore
Q122141,Q157062,7,Vodafone,Unilever
Q192314,Q744149,7,JPMorgan Chase,Wells Fargo
Q122141,Q1418,7,Vodafone,Nokia
Q1359568,Q193326,7,Alibaba Group,Goldman Sachs
Q41187,Q7893929,7,Sony Group,Universal Corporation
Q334204,Q478214,7,Morgan Stanley,Tesla
Q212405,Q95,7,Procter & Gamble,Google
Q334204,Q768773,7,Morgan Stanley,MSCI
Q1852556,Q856411,7,Philip Morris International,British American Tobacco
Q108770716,Q19923099,6,Samsara,Hewlett Packard Enterprise
