company_1,company_2,article_count
Electronic Arts,The Walt Disney Company,1
Microsoft,The Walt Disney Company,1
HSBC,Vodafone,1
Tesla,Vodafone,1
Mississippi Power,Southern Company,1
Viacom,Xerox,1
BHP,Blackstone Group,1
BHP,Devon Energy,1
Blackstone Group,Devon Energy,1
Blackstone Group,Shell,1
Devon Energy,Shell,1
Affirm,Amazon,1
Valero Energy,Valvoline,1
General Motors,Mobileye,1
Honda,Intel,1
Honda,Mobileye,1
Intel,Nissan,1
Mobileye,Nissan,1
Deutsche Bank,Fiat Chrysler Automobiles,1
Brookfield Business Partners,IBM,1
Brookfield Business Partners,Monsanto,1
Mondelez International,Procter & Gamble,1
Mondelez International,Reynolds American,1
Electronic Arts,Microsoft,1
Amazon,Hain Celestial Group,1
Hain Celestial Group,Morgan Stanley,1
Hain Celestial Group,Whole Foods Market,1
Etsy,eBay,1
IBM,LifeLock,1
IBM,eBay,1
LifeLock,eBay,1
Motorola,eBay,1
Procter & Gamble,Reynolds American,1
Google,Kroger,1
Broadridge Financial Solutions,Novavax,1
Citigroup,Novavax,1
Baidu,General Motors,1
American International Group,Comcast,1
American International Group,Deutsche Telekom,1
American International Group,Liberty Global,1
Mondelez International,The Coca-Cola Company,1
Qualcomm,TSMC,1
Avaya,IBM,1
CVS Health,Safeway,1
CVS Health,SuperValu,1
Costco,Omnicare,1
Omnicare,Safeway,1
Omnicare,SuperValu,1
Marriott International,The Home Depot,1
Aetna,Amazon,1
Aetna,Nike,1
Aetna,Whole Foods Market,1
Nike,Whole Foods Market,1
Philip Morris International,Reynolds American,1
AMAG Pharmaceuticals,Avadel Pharmaceuticals,1
Harte Hanks,Wipro,1
Etsy,Google,1
Etsy,IBM,1
Etsy,LifeLock,1
Canadian Natural Resources,Teck Resources,1
Logitech,Ryanair,1
Blackstone Group,Canadian Natural Resources,1
Blackstone Group,Shaw Communications,1
Blackstone Group,Suncor Energy,1
Canadian Natural Resources,Shaw Communications,1
AT&T,Equinix,1
AT&T,The Home Depot,1
Bloom Energy,Equinix,1
Bloom Energy,The Home Depot,1
Equinix,Morgan Stanley,1
Equinix,The Home Depot,1
Morgan Stanley,The Home Depot,1
Alexander & Baldwin,Forest City Realty Trust,1
CVS Health,Costco,1
CVS Health,Omnicare,1
Google,Prologis,1
Google,Robinhood,1
Baidu,Deutsche Bank,1
Baidu,Lehman Brothers,1
Deutsche Bank,Lehman Brothers,1
AT&T,Bloom Energy,1
Enron,Shell,1
Blue Apron,DoorDash,1
Blue Apron,The Cheesecake Factory,1
DoorDash,The Cheesecake Factory,1
Siemens,Vodafone,1
Carlyle Group,General Electric,1
Citigroup,Nissan,1
Citigroup,Sun Life Financial,1
Nissan,Sun Life Financial,1
Devon Energy,Noble Energy,1
Kenon Holdings Ltd,Toronto-Dominion Bank,1
Bank of America,Webster Bank,1
RadioShack,Sears,1
CSX Corporation,Canadian National Railway,1
CSX Corporation,Strayer University,1
Canadian National Railway,Strayer University,1
Deutsche Telekom,Microsoft,1
Airbnb,Starwood,1
Deutsche Telekom,Goldman Sachs,1
Goldman Sachs,Orange,1
Orange,Vodafone,1
AT&T,Juniper Networks,1
Goldman Sachs,Oaktree Capital Management,1
Bank of America,Cushman & Wakefield,1
Deutsche Bank,International Paper,1
Goldman Sachs,International Paper,1
Microsoft,Tech Data,1
Abbott Laboratories,Smith & Nephew,1
IBM,Ultimate Software,1
Motorola,Ultimate Software,1
Citigroup,Kelso & Company,1
Morgan Stanley,Newell Brands,1
American Express,TrueCar,1
IBM,Markit,1
AngloGold Ashanti,Gold Fields,1
IAC,Yelp,1
First Solar,Tesla,1
Accenture,Marriott International,1
Goldman Sachs,Monsanto,1
Agilent Technologies,Juniper Networks,1
Blackstone Group,Kenon Holdings Ltd,1
Blackstone Group,Toronto-Dominion Bank,1
Citigroup,Viacom,1
ConocoPhillips,Ryanair,1
Aetna,General Motors,1
Apollo Global Management,Unilever,1
International,Mattress Firm,1
Deutsche Bank,Randgold Resources,1
Nike,Perry Ellis International,1
Bank of America,Caterpillar,1
Bank of America,General Electric,1
Caterpillar,General Electric,1
Delta Air Lines,HSBC,1
Capella Education Company,Strayer University,1
Ferrari,IBM,1
General Mills,Johnson & Johnson,1
PepsiCo,Stitch Fix,1
Lloyds Banking Group,Morgan Stanley,1
Broadridge Financial Solutions,MAA,1
CarGurus,Zillow,1
MoneyGram,UBS,1
Microsoft,Visa,1
Credit Suisse,MSCI,1
BMO Financial Group,Diebold Nixdorf,1
IBM,Lloyds Banking Group,1
CureVac,Eli Lilly and Company,1
Eli Lilly and Company,SAP,1
Murphy USA,Walmart,1
Citigroup,Dominion Energy,1
BP,Vodafone,1
Gaylord Hotels,Ryman Hospitality Properties,1
Bristol-Myers Squibb,Kodak,1
Bristol-Myers Squibb,PepsiCo,1
Bank of America,Intel,1
ExxonMobil,Ferrari,1
Delta Air Lines,Dow Jones Industrial Average,1
Cognizant,Microsoft,1
Renewable Energy Group,S&P Global,1
Intelsat,Vodafone,1
FactSet,Google,1
FactSet,IBM,1
FactSet,Morgan Stanley,1
Credit Suisse,Siemens,1
First Merchants Bank,First Merchants Corporation,1
First Merchants Bank,International,1
First Merchants Corporation,International,1
"Gevo, Inc",The Coca-Cola Company,1
MAA,Proteon,1
Google,News Corp,1
AT&T,FactSet,1
Ingram Micro,Walmart,1
Ellie Mae,Zscaler,1
Citigroup,Toronto-Dominion Bank,1
Goldman Sachs,Toronto-Dominion Bank,1
Morgan Stanley,Toronto-Dominion Bank,1
Arrow Electronics,IBM,1
Arrow Electronics,Microsoft,1
Delta Air Lines,Xerox,1
Bank of America,IBM,1
Bank of America,MSCI,1
BorgWarner,Gentex,1
General Dynamics,McDermott International,1
General Dynamics,Ryanair,1
McDermott International,Ryanair,1
Burlington,Procter & Gamble,1
Burlington,Unilever,1
Amazon,General Mills,1
Comcast,Goldman Sachs,1
Comcast,JPMorgan Chase,1
JPMorgan Chase,Unilever,1
ExxonMobil,Honda,1
ArcelorMittal,Deutsche Bank,1
Capital One,Credit Suisse,1
Capital One,Morgan Stanley,1
Bank of America,UBS,1
Booking Holdings,Vodafone,1
Air Lease,General Electric,1
Google,Sears,1
Amazon,Dangdang,1
Amazon,Ingram Micro,1
Dangdang,Ingram Micro,1
Dangdang,Walmart,1
Citigroup,Rosetta Stone,1
Deutsche Bank,Rosetta Stone,1
Hertz Car Sales,Hertz Global Holdings,1
Hertz Global Holdings,The Hertz Corporation,1
Goldman Sachs,Randgold Resources,1
Equinix,NetApp,1
Asbury Automotive Group,Toyota,1
CRH,Deutsche Bank,1
CRH,Randgold Resources,1
Bally Technologies,International Game Technology,1
Gartner,Microsoft,1
Dow Jones Industrial Average,Procter & Gamble,1
AstraZeneca,Novavax,1
Aptiv,Autoliv,1
Aptiv,Intel,1
Autoliv,Intel,1
Amazon,American Express,1
Amazon,Starbucks,1
American Express,Starbucks,1
IBM,Starbucks,1
Fiat Chrysler Automobiles,Toyota,1
Capital One,HSBC,1
Kroger,Morgan Stanley,1
Deutsche Telekom,Turkcell,1
Deutsche Telekom,VEON,1
Turkcell,VEON,1
GoDaddy,Pluralsight,1
AC Immune,Amgen,1
AC Immune,Biogen,1
AC Immune,Ironwood Pharmaceuticals,1
Amgen,Biogen,1
Viacom,Walmart,1
Nissan,PepsiCo,1
General Motors,UBS,1
Amgen,Ironwood Pharmaceuticals,1
Biogen,Ironwood Pharmaceuticals,1
Gilead Sciences,Intel,1
Cushman & Wakefield,Wells Fargo,1
Goldman Sachs,Johnson & Johnson,1
Goldman Sachs,Molina Healthcare,1
Molina Healthcare,Vodafone,1
British American Tobacco,Pfizer,1
Capital One,Gartner,1
Gartner,Wells Fargo,1
Hewlett-Packard,Motorola,1
Boeing,Broadcom,1
Boeing,Lumentum Holdings,1
Boeing,Micron Technology,1
AVG Technologies,Morgan Stanley,1
AVG Technologies,UBS,1
Applied Materials,Nordstrom,1
Accenture,Red Hat,1
Broadcom,Lumentum Holdings,1
Broadcom,Micron Technology,1
Caterpillar,Lumentum Holdings,1
Caterpillar,Micron Technology,1
Lumentum Holdings,Micron Technology,1
AstraZeneca,UBS,1
Tyson Foods,Valspar,1
Informatica,Sun Microsystems,1
Biogen,Johnson & Johnson,1
General Mills,United Airlines,1
Amazon,Lehman Brothers,1
HSBC,Park Electrochemical Corp,1
Boston Scientific,Stryker Corporation,1
Dow Jones Industrial Average,Royal Bank of Canada,1
Dow Jones Industrial Average,Toronto-Dominion Bank,1
Novartis,Sangamo Therapeutics,1
Novartis,Sanofi,1
NW Natural,Portland General Electric,1
Google,PepsiCo,1
Coinbase,Getty Images,1
Johnson & Johnson,Rite Aid,1
Boston Scientific,Smith & Nephew,1
Hewlett-Packard,VMware,1
Entravision Communications,Spanish Broadcasting System,1
Braskem,LyondellBasell,1
Amazon,Gartner,1
Laureate Education,PepsiCo,1
Broadcom,Caterpillar,1
DoorDash,Instacart,1
Adaptive Biotechnologies,Genomic Health,1
ConocoPhillips,Murphy Oil,1
Morgan Stanley,Shell,1
Duff & Phelps,Virtus Investment Partners,1
American Express,Raytheon,1
Raytheon,Walmart,1
Spartan Motors,Taylor Corporation,1
MAA,Silicon Valley Bank,1
Boeing,Ralph Lauren Corporation,1
Kroger,Sears,1
Safeway,Sears,1
Amazon,Brookfield Property Partners,1
Microsoft,Uber,1
General Electric,Sanofi,1
Dow Jones Industrial Average,General Electric,1
Amazon,Overstock.com,1
General Electric,Primoris Services Corporation,1
Hansen Medical,Medtronic,1
IBM,Tech Data,1
General Mills,Procter & Gamble,1
AT&T,China Telecom,1
Citigroup,Mitsubishi UFJ Financial Group,1
Deutsche Bank,Mitsubishi UFJ Financial Group,1
Goldman Sachs,Mitsubishi UFJ Financial Group,1
Mitsubishi UFJ Financial Group,Morgan Stanley,1
Mitsubishi UFJ Financial Group,Wells Fargo,1
Duke Energy,Gulf Power Company,1
Duke Energy,Southern Company,1
Gulf Power Company,Southern Company,1
AT&T,NXP Semiconductors,1
Google,NXP Semiconductors,1
Credit Suisse,Vodafone,1
Goldman Sachs,Liberty Global,1
Liberty Global,Morgan Stanley,1
Morgan Stanley,Vodafone,1
BP,DuPont,1
DuPont,Shell,1
Abbott Laboratories,Bristol-Myers Squibb,1
CRH,UBS,1
Colgate-Palmolive,Google,1
Colgate-Palmolive,Unilever,1
FireEye,IBM,1
CME Group,Vedanta Resources,1
Broadridge Financial Solutions,Moelis & Company,1
Citigroup,Moelis & Company,1
Credit Suisse,Moelis & Company,1
Moelis & Company,Morgan Stanley,1
China Telecom,Intel,1
Comcast,Semtech Corporation,1
Ryanair,UBS,1
ExxonMobil,Stone Energy Corporation,1
Shell,Stone Energy Corporation,1
China Telecom,Shell,1
ChinaCache,Shell,1
Amazon,Shell,1
American Express,Getty Images,1
Getty Images,Visa,1
Intercontinental Exchange,UBS,1
Kimberly-Clark,PepsiCo,1
Bank of Ireland,Deutsche Bank,1
Bank of Ireland,Nokia,1
BlackRock,Lehman Brothers,1
Credit Suisse,Liberty Global,1
Cadence Design Systems,Hewlett Packard Enterprise,1
Cadence Design Systems,Microsoft,1
Deutsche Bank,Nokia,1
Hyatt Hotels Corporation,Shutterfly,1
Hyatt Hotels Corporation,Sotheby's,1
Shutterfly,Sotheby's,1
Carlyle Group,Tesla,1
Amazon,Vornado Realty Trust,1
Hasbro,Vornado Realty Trust,1
Mattel,Vornado Realty Trust,1
Altice USA,UBS,1
Deutsche Bank,Rio Tinto,1
Rio Tinto,UBS,1
Microsoft,Shell,1
Bristol-Myers Squibb,Onyx Pharmaceuticals,1
Bristol-Myers Squibb,Quest Diagnostics,1
IBM,Xerox,1
Texas Instruments,Xerox,1
Amazon,Carlyle Group,1
Onyx Pharmaceuticals,Quest Diagnostics,1
Arconic,Goldman Sachs,1
Lloyds Banking Group,UBS,1
Camping World,Corporate Office Properties Trust,1
Starwood,UBS,1
CapitalSource,PacWest Bancorp,1
Airbnb,American Express,1
Citigroup,Columbia Bank,1
Columbia Bank,Morgan Stanley,1
AT&T,Cadence Design Systems,1
AT&T,Frontier Communications,1
AT&T,Hewlett Packard Enterprise,1
Cadence Design Systems,Frontier Communications,1
Fiat Chrysler Automobiles,Nintendo,1
First Niagara Bank,Microsoft,1
First Niagara Bank,Nike,1
First Niagara Bank,Nintendo,1
Microsoft,Nike,1
Nike,Nintendo,1
Frontier Communications,Hewlett Packard Enterprise,1
Frontier Communications,Microsoft,1
China Telecom,Xunlei Limited,1
Investment Technology Group,TD Ameritrade,1
Investment Technology Group,Virtu Financial,1
TD Ameritrade,Virtu Financial,1
AT&T,Texas Instruments,1
Google,Texas Instruments,1
Google,Xerox,1
IBM,Texas Instruments,1
Amazon,U.S. Auto Parts,1
Lionbridge,Microsoft,1
Capital One,Salesforce,1
Capital One,WeWork,1
Salesforce,WeWork,1
FirstEnergy,IBM,1
Amazon,Liberty Global,1
Google,Visa,1
Amazon,The Cheesecake Factory,1
FactSet,The Cheesecake Factory,1
Monsanto,Motorola,1
Motorola,SAP,1
Voya Financial,Wells Fargo,1
Fiat Chrysler Automobiles,First Niagara Bank,1
Fiat Chrysler Automobiles,Microsoft,1
Fiat Chrysler Automobiles,Nike,1
Mallinckrodt Pharmaceuticals,Medtronic,1
Amazon,Viacom,1
Cirrus Logic,National Instruments,1
Blackstone Group,Liberty Global,1
Alibaba Group,ServiceNow,1
Blackbaud,Microsoft,1
Intel,LPL Financial,1
Sally Beauty Holdings,Sotheby's,1
Ferrari,HSBC,1
Ferrari,MSCI,1
Ferrari,Scotiabank,1
MSCI,Scotiabank,1
American International Group,Broadcom,1
Orbotech,QuinStreet,1
General Electric,MSCI,1
Amazon,Visa,1
AT&T,Mercer,1
CME Group,Mercer,1
CME Group,Visa,1
Mercer,Visa,1
Cbeyond,Motorola,1
American Airlines,American Express,1
American Airlines,Simon Property Group,1
American Express,Simon Property Group,1
Costco,Nordstrom,1
Express,FedEx,1
Air France-KLM,American Airlines,1
American Airlines,HSBC,1
Comcast,Vonage,1
Instacart,Walmart,1
Apollo Global Management,Overstock.com,1
Aegon,BHP,1
Amazon,Urban Outfitters,1
Google,Urban Outfitters,1
Aegon,Rio Tinto,1
Gilead Sciences,Goldman Sachs,1
Blackstone Group,Hilton Grand Vacations,1
Colgate-Palmolive,Goldman Sachs,1
Colgate-Palmolive,Marriott International,1
Colgate-Palmolive,Medtronic,1
Goldman Sachs,Marriott International,1
Goldman Sachs,Medtronic,1
Marriott International,Medtronic,1
21st Century Fox,News Corp,1
Comcast,News Corp,1
Amazon,Novartis,1
Citigroup,Lloyds Banking Group,1
Lloyds Banking Group,Wells Fargo,1
CommScope,Monsanto,1
CommScope,Siemens,1
American Express,Comcast,1
American Express,Spirit Airlines,1
Comcast,Spirit Airlines,1
AMD,Novartis,1
MarketAxess,UBS,1
Goldman Sachs,Tyson Foods,1
POSCO,Vornado Realty Trust,1
Johnson & Johnson,Medtronic,1
HubSpot,Salesforce,1
HubSpot,ServiceNow,1
Salesforce,ServiceNow,1
Deutsche Bank,EQT,1
EQT,Goldman Sachs,1
RELX,Siemens,1
Sears,Washington Prime Group,1
Boeing,LifeLock,1
Boeing,Visa,1
British American Tobacco,CRH,1
Bank of America,Simmons Bank,1
Visa,Walmart,1
Ford Motor Company,Intel,1
BEA Systems,Visa,1
ASML,NXP Semiconductors,1
Simon Property Group,Walmart,1
Hewlett-Packard,IBM,1
Hewlett-Packard,Microsoft,1
Hewlett-Packard,RingCentral,1
Fiat Chrysler Automobiles,Scotiabank,1
CommScope,Intuit,1
CommScope,Microsoft,1
Getty Images,Walmart,1
Getty Images,Wayfair,1
Intuit,Microsoft,1
Intuit,Monsanto,1
Intuit,Siemens,1
Microsoft,Monsanto,1
Amgen,Cytokinetics,1
ArcelorMittal,POSCO,1
First Solar,Shinhan Financial Group,1
Shell,Shinhan Financial Group,1
Cenovus Energy,Enbridge,1
Ford Motor Company,Google,1
Citrix Systems,Nutanix,1
Bank of America,Union Pacific Corporation,1
Boeing,Union Pacific Corporation,1
Urban Outfitters,eBay,1
Allergan plc,International,1
Morgan Stanley,Trina Solar,1
BHP,MSCI,1
American Eagle Outfitters,The Michaels Companies,1
American Eagle Outfitters,Walmart,1
Costco,The Michaels Companies,1
The Michaels Companies,Walmart,1
Alliance Data,FTI Consulting,1
Hewlett Packard Enterprise,Sears,1
Procter & Gamble,Yum! Brands,1
City National Bank,Credit Suisse,1
City National Bank,Morgan Stanley,1
City National Bank,Wells Fargo,1
Analog Devices,Nortel,1
Getty Images,Overstock.com,1
Getty Images,Sears,1
Microsoft,Overstock.com,1
Microsoft,Sears,1
Microsoft,Wayfair,1
Overstock.com,Sears,1
Overstock.com,Wayfair,1
Sears,Wayfair,1
Walmart,Wayfair,1
Aethlon Medical,International,1
Microsoft,Prologis,1
Broadridge Financial Solutions,Deutsche Bank,1
Broadridge Financial Solutions,Salesforce,1
American Eagle Outfitters,Costco,1
Citrix Systems,PepsiCo,1
Adobe,Dell Technologies,1
Adobe,Microsoft,1
Dell Technologies,Google,1
Citigroup,Salesforce,1
Deutsche Bank,Salesforce,1
Adobe,Airbnb,1
DowDuPont,Olin Corporation,1
CME Group,Intercontinental Exchange,1
Medtronic,Rockwell Automation,1
S&P Global,S&P Global Ratings,1
ISS,Unilever,1
HDFC Bank,ICICI Bank,1
Deutsche Bank,Signature Bank,1
Morgan Stanley,Stifel,1
Fortinet,Intel,1
Goldman Sachs,United Airlines,1
IBM,United Airlines,1
Morgan Stanley,United Airlines,1
Coinbase,eToro,1
Citigroup,Intel,1
Charter Communications,Time Warner Cable,1
BP,BlackRock,1
Amazon,NDTV,1
IBM,UBS,1
Equifax,Google,1
Amazon,GPA,1
Rio Tinto,Royal Bank of Canada,1
S&P Global Ratings,Sibanye-Stillwater,1
Standard Pacific Homes,TRI Pointe Group,1
General Electric,TE Connectivity,1
Harman International Industries,InterDigital,1
Harman International Industries,Nokia,1
InterDigital,Nokia,1
Best Buy,Toyota,1
Coinstar,Starbucks,1
Bankrate,Live Oak Bank,1
Caterpillar,Hewlett-Packard,1
Caterpillar,Texas Instruments,1
Hewlett-Packard,Texas Instruments,1
Starwood,WeWork,1
Intel,SolarWinds,1
Anadarko Petroleum,Eni,1
Google,Grab,1
Ameriprise Financial,MSCI,1
Ford Motor Company,Strategy,1
Sysco,Verizon Communications,1
AT&T,Caterpillar,1
AT&T,Johnson & Johnson,1
Caterpillar,Citigroup,1
Caterpillar,Johnson & Johnson,1
Caterpillar,Xerox,1
Tupperware,Tupperware Brands,1
FBR Capital Markets,Juniper Networks,1
BlackRock,Citigroup,1
BlackRock,Wells Fargo,1
The Coca-Cola Company,The Hershey Company,1
Citigroup,Johnson & Johnson,1
Citigroup,Xerox,1
Intel,Johnson & Johnson,1
Johnson & Johnson,Xerox,1
Colfax Corporation,ESAB,1
Aetna,Surgery Partners,1
UBS,Viacom,1
FireEye,Fortinet,1
IBM,Novartis,1
Genesco,Walmart,1
Sunrise Senior Living,Welltower,1
Amazon,Parker Hannifin,1
Eaton Corporation,Parker Hannifin,1
Grab,Johnson & Johnson,1
Grab,Vale,1
Grab,Vista Oil & Gas,1
SAP,UBS,1
AT&T,Telenav,1
AT&T,Toyota,1
Telenav,Toyota,1
GoPro,Walmart,1
Comcast,Extreme Reach,1
Aimco,Airbnb,1
IBM,Vodafone,1
Icahn Enterprises,Xerox,1
Google,Motorola Mobility,1
First Financial Bancorp,MainSource Bank,1
Microsoft,Nortel,1
City National Bank,PacWest Bancorp,1
CME Group,Johnson & Johnson,1
Fidelity National Information Services,Invesco,1
Fidelity National Information Services,Regis Corporation,1
Goldman Sachs,Instacart,1
Principal Financial Group,WSFS Bank,1
Google,Motorola,1
General Mills,Kraft Heinz,1
Exponent,Tesla,1
Exponent,Toyota,1
Delta Air Lines,Morgan Stanley,1
Broadridge Financial Solutions,Google,1
Broadridge Financial Solutions,Microsoft,1
Huron Consulting Group,IBM,1
Amazon,Eaton Corporation,1
Deutsche Bank,Virtu Financial,1
Gilead Sciences,Intercept Pharmaceuticals,1
MoneyGram,Principal Financial Group,1
S&P Global,Washington Prime Group,1
Intel,Walmart,1
Grab,YPF,1
Johnson & Johnson,Vale,1
Johnson & Johnson,Vista Oil & Gas,1
Johnson & Johnson,YPF,1
Vale,Vista Oil & Gas,1
Vale,YPF,1
Vista Oil & Gas,YPF,1
Credit Suisse,Juniper Networks,1
Credit Suisse,Nortel,1
Goldman Sachs,Juniper Networks,1
Goldman Sachs,Nortel,1
Goldman Sachs,Lam Research,1
Hasbro,Walmart,1
Blackstone Group,Lazard,1
Intel,Nokia,1
Goldman Sachs,Zscaler,1
Microsoft,Zscaler,1
Invesco,Regis Corporation,1
Broadridge Financial Solutions,General Electric,1
Broadridge Financial Solutions,Siemens,1
MetLife,United Airlines,1
Credit Suisse,Kinder Morgan,1
AerCap,General Electric,1
Nike,Starbucks,1
Starbucks,Wells Fargo,1
Credit Suisse,KCG Holdings,1
Deutsche Bank,KCG Holdings,1
Calgon Carbon,S&P Global,1
Nomura Group,Virtu Financial,1
GPA,Goldman Sachs,1
GPA,Walmart,1
Alnylam Pharmaceuticals,Pfizer,1
Alnylam Pharmaceuticals,Stifel,1
Pfizer,Stifel,1
Aflac,CVS Health,1
Banco Santander,Citigroup,1
Encore Capital Group,International,1
Boeing,Citigroup,1
Boeing,Goldman Sachs,1
BP,Tesla,1
Deutsche Bank,MoneyGram,1
Bank of America,Tesla,1
Airbnb,Citigroup,1
AstraZeneca,General Electric,1
AstraZeneca,Humana,1
General Electric,Goldman Sachs,1
General Electric,Humana,1
Goldman Sachs,Humana,1
Avista,Johnson & Johnson,1
Credit Suisse,Vivo,1
Shell,Vivo,1
Alaska Air Group,Alaska Airlines,1
Alaska Air Group,Virgin America,1
Goldman Sachs,Virtu Financial,1
Morgan Stanley,Zscaler,1
Salesforce,Siemens,1
Salesforce,Zscaler,1
Siemens,Zscaler,1
Mobileye,Qualcomm,1
