company_id,company,article_count
Q156644,Raytheon,16
Q1197548,Micron Technology,16
Q19681433,Kraft Heinz,16
Q1542175,Mitsubishi UFJ Financial Group,16
Q5139058,Coca-Cola Bottling Co. Consolidated,16
Q3295867,The Coca-Cola Company,16
Q902397,Cardinal Health,16
Q624649,KLA Corporation,16
Q2923022,Boyd Gaming,16
Q303341,Wyndham Worldwide,16
Q115056594,Cohen & Steers,16
Q48742870,Nutrien,16
Q917487,Brinker International,16
Q1915079,McDermott International,16
Q267313,"McAfee, LLC",15
Q1516562,Liberty Media,15
Q202972,International Paper,15
Q181507,SunTrust Banks,15
Q1419248,FirstEnergy,15
Q15913890,iQIYI,15
Q27988239,MAA,15
Q5452773,First Commonwealth Bank,15
Q24705550,Brookfield Business Partners,15
Q210047,Petrobras,15
Q1653258,ICICI Bank,15
Q5323987,EQT,15
Q705392,Seagate Technology,15
Q16953039,Moelis & Company,15
Q5427196,FTI Consulting,15
Q15272375,RetailMeNot,15
Q3493556,Spirit AeroSystems,15
Q868587,S&P Global,15
Q739084,U.S. Bancorp,15
Q1944412,MoneyGram,15
Q727697,Coach,15
Q338825,Accenture,15
Q1145004,Randgold Resources,15
Q5370757,Emergent,15
Q135325,Alcoa,15
Q174310,Nordstrom,14
Q831445,Sinopec,14
Q1023013,"CBRE, Inc.",14
Q1384784,Express,14
Q60748073,"Connecticut Water Service, Inc.",14
Q22671405,B2Gold,14
Q48754,PPG Industries,14
Q5674337,Harte Hanks,14
Q1410766,Fibria,14
Q96095585,Pinterest Inc.,14
Q7856196,Turquoise Hill Resources,14
Q17112054,Silicon Valley Bank,14
Q16979157,PBF Energy,14
Q4999220,Burlington,14
Q327751,Kraft Foods Group,14
Q8085893,Expedia Group,14
Q16972754,Coinbase,14
Q5178891,Covanta,14
Q6994181,Caladrius Biosciences,14
Q688725,Teck Resources,14
Q2207629,SPX Corporation,13
Q165684,Rogers Communications,13
Q1152374,GE HealthCare,13
Q1389504,"Morningstar, Inc.",13
