company,company_id,exchange,ticker,industry,company_url
,Q7727445,New York Stock Exchange,TCS,retail,http://www.wikidata.org/entity/Q7727445
,Q7772938,New York Stock Exchange,VSI,retail,http://www.wikidata.org/entity/Q7772938
,Q7802889,New York Stock Exchange,TLYS,retail,http://www.wikidata.org/entity/Q7802889
,Q7827120,New York Stock Exchange,CURV,retail,http://www.wikidata.org/entity/Q7827120
,Q7833697,Nasdaq,TWMC,retail,http://www.wikidata.org/entity/Q7833697
,Q7851426,Nasdaq,TUES,retail,http://www.wikidata.org/entity/Q7851426
,Q7857512,Nasdaq,ASNA,retail,http://www.wikidata.org/entity/Q7857512
,Q7858039,New York Stock Exchange,TWLO,Voice over IP,http://www.wikidata.org/entity/Q7858039
,Q5207184,New York Stock Exchange,DVA,health care industry,http://www.wikidata.org/entity/Q5207184
,Q5255025,New York Stock Exchange,LEAF,online service,http://www.wikidata.org/entity/Q5255025
,Q1368919,Nasdaq,MBT,telecommunications,http://www.wikidata.org/entity/Q1368919
,Q1368919,New York Stock Exchange,MBT,telecommunications,http://www.wikidata.org/entity/Q1368919
,Q1428656,New York Stock Exchange,,telecommunications,http://www.wikidata.org/entity/Q1428656
,Q1507642,New York Stock Exchange,HNP,electric power industry,http://www.wikidata.org/entity/Q1507642
,Q5204989,Nasdaq,SZMK,digital media,http://www.wikidata.org/entity/Q5204989
,Q5340849,Nasdaq,ARCL,educational software,http://www.wikidata.org/entity/Q5340849
,Q1335585,New York Stock Exchange,EMR,electrical industry,http://www.wikidata.org/entity/Q1335585
,Q1344587,New York Stock Exchange,ETR,energy company,http://www.wikidata.org/entity/Q1344587
,Q1419248,New York Stock Exchange,FE,electricity supply company,http://www.wikidata.org/entity/Q1419248
,Q5197142,New York Stock Exchange,CVT,event management,http://www.wikidata.org/entity/Q5197142
,Q5351770,New York Stock Exchange,EE,electricity supply company,http://www.wikidata.org/entity/Q5351770
,Q5367351,Nasdaq,,health technology,http://www.wikidata.org/entity/Q5367351
,Q17107938,Nasdaq,IMRS,medical equipment,http://www.wikidata.org/entity/Q17107938
,Q17113726,Nasdaq,VIVO,medical equipment,http://www.wikidata.org/entity/Q17113726
,Q17182820,Nasdaq,CTSO,Critical care,http://www.wikidata.org/entity/Q17182820
,Q1383669,New York Stock Exchange,EXC,energy industry,http://www.wikidata.org/entity/Q1383669
,Q1410766,New York Stock Exchange,fbr,pulp and paper industry,http://www.wikidata.org/entity/Q1410766
,Q1400073,New York Stock Exchange,FSS,automotive supplier,http://www.wikidata.org/entity/Q1400073
,Q1416215,Nasdaq,GDDY,web hosting service,http://www.wikidata.org/entity/Q1416215
,Q1416215,New York Stock Exchange,GDDY,web hosting service,http://www.wikidata.org/entity/Q1416215
,Q1424962,New York Stock Exchange,IHG,beverage industry,http://www.wikidata.org/entity/Q1424962
