company,company_id,ticker,industry,company_url
American Homes 4 Rent,Q20979194,AMH,real estate investment trust,http://www.wikidata.org/entity/Q20979194
American Reprographics Company,Q4744822,ARC,tertiary sector of the economy,http://www.wikidata.org/entity/Q4744822
American Research and Development Corporation,Q2662418,ARD,,http://www.wikidata.org/entity/Q2662418
American States Water,Q16974884,AWR,"water collection, treatment and supply",http://www.wikidata.org/entity/Q16974884
American Tower Corporation,Q4745263,AMT,real estate investment trust,http://www.wikidata.org/entity/Q4745263
Americold,Q24197334,COLD,,http://www.wikidata.org/entity/Q24197334
Amerigroup,Q4745709,,health insurance,http://www.wikidata.org/entity/Q4745709
"Amneal Pharmaceuticals, Inc.",Q16996714,AMRX,pharmaceutical industry,http://www.wikidata.org/entity/Q16996714
Ampco Pittsburgh,Q4748076,AP,steel,http://www.wikidata.org/entity/Q4748076
Amplify Energy,Q96371983,AMPY,,http://www.wikidata.org/entity/Q96371983
Amreit,Q4748631,AMRE,real estate investment trust,http://www.wikidata.org/entity/Q4748631
Amrep Corporation,Q4748634,AXR,,http://www.wikidata.org/entity/Q4748634
Amwell,Q16983204,AMWL,health care,http://www.wikidata.org/entity/Q16983204
Anadarko Petroleum,Q483637,APC,petroleum industry,http://www.wikidata.org/entity/Q483637
Anaplan,Q4751571,PLAN,business software industry,http://www.wikidata.org/entity/Q4751571
AngloGold Ashanti,Q541076,AU,mining,http://www.wikidata.org/entity/Q541076
Anixter,Q4765682,,product distribution,http://www.wikidata.org/entity/Q4765682
Ann Taylor,Q4766699,,retail,http://www.wikidata.org/entity/Q4766699
Annaly Capital Management,Q16828730,NLY,real estate investment trust,http://www.wikidata.org/entity/Q16828730
Annie's Homegrown,Q4769205,,,http://www.wikidata.org/entity/Q4769205
Anworth Mortgage Asset Corporation,Q4778095,,real estate investment trust,http://www.wikidata.org/entity/Q4778095
Anywhere Real Estate,Q7301358,HOUS,real estate industry,http://www.wikidata.org/entity/Q7301358
Aon Hewitt,Q913851,HEW,human resource consulting,http://www.wikidata.org/entity/Q913851
Aon plc,Q739518,AON,professional service,http://www.wikidata.org/entity/Q739518
Aphria,Q48814381,APHA,cannabis industry,http://www.wikidata.org/entity/Q48814381
Applied Industrial Technologies,Q4781544,AIT,,http://www.wikidata.org/entity/Q4781544
Aptar,Q30273389,ATR,,http://www.wikidata.org/entity/Q30273389
Aptiv,Q643626,DLPH,automotive industry,http://www.wikidata.org/entity/Q643626
Aramark,Q625708,ARMK,food service,http://www.wikidata.org/entity/Q625708
ArcelorMittal,Q27893,MT,iron and steel industry,http://www.wikidata.org/entity/Q27893
Arch Resources,Q2062132,ARCH,mining of coal,http://www.wikidata.org/entity/Q2062132
Archer Aviation,Q109369035,ACHR,aviation,http://www.wikidata.org/entity/Q109369035
Arconic,Q92639564,ARNC,industrial manufacturing,http://www.wikidata.org/entity/Q92639564
Arcos Dorados Holdings,Q15727302,ARCO,food industry,http://www.wikidata.org/entity/Q15727302
