company,company_id,ticker,industry,company_url
Biohaven Pharmaceuticals,Q92546757,BHVN,,http://www.wikidata.org/entity/Q92546757
Biomx,Q96482167,PHGE,pharmaceutical industry,http://www.wikidata.org/entity/Q96482167
BitMine Immersion,Q137983503,BMNR,,http://www.wikidata.org/entity/Q137983503
Black Hills Corporation,Q880296,BKH,energy industry,http://www.wikidata.org/entity/Q880296
"Black Knight, Inc.",Q6522334,BKI,financial services,http://www.wikidata.org/entity/Q6522334
Black Rifle Coffee Company,Q64005031,BRCC,retail,http://www.wikidata.org/entity/Q64005031
Black Stone Minerals,Q21196367,BSM,petroleum industry,http://www.wikidata.org/entity/Q21196367
BlackSky,Q56314218,BKSY,software industry,http://www.wikidata.org/entity/Q56314218
Bloom Energy,Q29526078,BE,electronics industry,http://www.wikidata.org/entity/Q29526078
Blue Apron,Q26913624,APRN,online food ordering,http://www.wikidata.org/entity/Q26913624
Blue Owl Capital,Q114795591,OWL,financial services,http://www.wikidata.org/entity/Q114795591
BlueLinx,Q4928758,BXC,wholesale,http://www.wikidata.org/entity/Q4928758
Bluegreen Corporation,Q4930359,BXG,,http://www.wikidata.org/entity/Q4930359
"Blyth, Inc.",Q3367020,BTH,,http://www.wikidata.org/entity/Q3367020
Boardwalk Pipeline Partners,Q4931457,,,http://www.wikidata.org/entity/Q4931457
Boise Cascade,Q2909088,BCC,,http://www.wikidata.org/entity/Q2909088
Booz Allen Hamilton,Q893221,BAH,consulting company,http://www.wikidata.org/entity/Q893221
BorgWarner,Q825943,BWA,automotive industry,http://www.wikidata.org/entity/Q825943
Boston Beer Company,Q894558,SAM,,http://www.wikidata.org/entity/Q894558
Boston Properties,Q4844439,BXP,real estate industry,http://www.wikidata.org/entity/Q4844439
Box,Q4951483,BOX,cloud storage,http://www.wikidata.org/entity/Q4951483
Boxed.com,Q30591074,BOXD,retail,http://www.wikidata.org/entity/Q30591074
Boyd Gaming,Q2923022,BYD,,http://www.wikidata.org/entity/Q2923022
Brady Corporation,Q897097,BRC,industrial manufacturing,http://www.wikidata.org/entity/Q897097
Braemar Hotels & Resorts,Q63862184,BHR,,http://www.wikidata.org/entity/Q63862184
