company,company_id,exchange,ticker,industry,market_cap,market_cap_date,company_url,revenue,revenue_date
TransDigm Group Inc.,Q7833612,New York Stock Exchange,TDG,industrial manufacturing,,,http://www.wikidata.org/entity/Q7833612,5430000000.0,2022-01-01 00:00:00+00:00
Roper Technologies,Q16932392,New York Stock Exchange,ROP,conglomerate,,,http://www.wikidata.org/entity/Q16932392,5371800000.0,2022-01-01 00:00:00+00:00
Leidos,Q502132,New York Stock Exchange,LDOS,defense contractor,,,http://www.wikidata.org/entity/Q502132,5330000000.0,2019-01-01 00:00:00+00:00
Airgas,Q80635,New York Stock Exchange,ARG,industrial gas,,,http://www.wikidata.org/entity/Q80635,5314000000.0,2016-01-01 00:00:00+00:00
Embraer,Q105557,New York Stock Exchange,ERJ,weapons industry,,,http://www.wikidata.org/entity/Q105557,5300000000.0,2023-01-01 00:00:00+00:00
Grupo Televisa,Q47099,New York Stock Exchange,TV,television,,,http://www.wikidata.org/entity/Q47099,5300000000.0,2012-01-01 00:00:00+00:00
GameStop,Q202210,New York Stock Exchange,GME,retail,7770000000.0,2022-01-06 00:00:00+00:00,http://www.wikidata.org/entity/Q202210,5272800000.0,2024-02-03 00:00:00+00:00
Booz Allen Hamilton,Q893221,New York Stock Exchange,BAH,consulting company,,,http://www.wikidata.org/entity/Q893221,5140000000.0,2019-01-01 00:00:00+00:00
Mercer,Q1391599,Nasdaq,MERC,risk management,,,http://www.wikidata.org/entity/Q1391599,5021000000.0,2019-01-01 00:00:00+00:00
CME Group,Q1023876,Nasdaq,CME,finance,,,http://www.wikidata.org/entity/Q1023876,5019400000.0,2022-01-01 00:00:00+00:00
First Republic Bank,Q5453752,New York Stock Exchange,FRC,economics of banking,37020000000.0,2021-01-01 00:00:00+00:00,http://www.wikidata.org/entity/Q5453752,5000000000.0,2021-01-01 00:00:00+00:00
Harris Corporation,Q1433308,New York Stock Exchange,,aerospace industry,,,http://www.wikidata.org/entity/Q1433308,4970000000.0,2018-01-01 00:00:00+00:00
AerCap,Q4687934,New York Stock Exchange,AER,financial services,,,http://www.wikidata.org/entity/Q4687934,4937340000.0,2019-01-01 00:00:00+00:00
Hologic,Q5884072,Nasdaq,HOLX,health technology,,,http://www.wikidata.org/entity/Q5884072,4862800000.0,2022-01-01 00:00:00+00:00
Western Union,Q861042,New York Stock Exchange,WU,financial services,,,http://www.wikidata.org/entity/Q861042,4835000000.0,2020-01-01 00:00:00+00:00
Regions Financial Corporation,Q917131,New York Stock Exchange,RF,economics of banking,,,http://www.wikidata.org/entity/Q917131,4786000000.0,2022-01-01 00:00:00+00:00
NCR Corporation,Q524989,New York Stock Exchange,VYX,information and communications technology,,,http://www.wikidata.org/entity/Q524989,4610000000.0,2009-01-01 00:00:00+00:00
Domino's Pizza,Q839466,New York Stock Exchange,DPZ,,,,http://www.wikidata.org/entity/Q839466,4537158000.0,2022-01-01 00:00:00+00:00
Chipotle Mexican Grill,Q465751,New York Stock Exchange,CMG,fast food,,,http://www.wikidata.org/entity/Q465751,4500000000.0,2015-01-01 00:00:00+00:00
Rivian Automotive,Q7338847,Nasdaq,RIVN,automotive industry,15775000000.0,2025-05-01 00:00:00+00:00,http://www.wikidata.org/entity/Q7338847,4486000000.0,2024-01-01 00:00:00+00:00
Zoom Video Communications,Q17460900,Nasdaq,ZM,video conference,,,http://www.wikidata.org/entity/Q17460900,4392960000.0,2022-01-01 00:00:00+00:00
Logitech,Q223127,Nasdaq,LOGI,computer hardware industry,,,http://www.wikidata.org/entity/Q223127,4298467000.0,2024-03-31 00:00:00+00:00
Public Storage,Q1156045,New York Stock Exchange,PSA,self storage,,,http://www.wikidata.org/entity/Q1156045,4182163000.0,2022-01-01 00:00:00+00:00
Las Vegas Sands,Q1506045,New York Stock Exchange,LVS,gambling,,,http://www.wikidata.org/entity/Q1506045,4110000000.0,2022-01-01 00:00:00+00:00
Old Dominion Freight Line,Q7083862,Nasdaq,ODFL,freight transport industry,,,http://www.wikidata.org/entity/Q7083862,4015000000.0,2020-12-31 00:00:00+00:00
Brown-Forman,Q392221,New York Stock Exchange,BF.B,beverage industry,,,http://www.wikidata.org/entity/Q392221,3975000000.0,2024-01-01 00:00:00+00:00
Brink's,Q2902305,New York Stock Exchange,BCO,logistics,4340000000.0,0017-10-10 00:00:00+00:00,http://www.wikidata.org/entity/Q2902305,3942000000.0,2013-01-01 00:00:00+00:00
Sinclair Broadcast Group,Q2288792,Nasdaq,SBGI,telecommunications,,,http://www.wikidata.org/entity/Q2288792,3928000000.0,2022-01-01 00:00:00+00:00
OTE,Q206678,New York Stock Exchange,OTE,telecommunications,,,http://www.wikidata.org/entity/Q206678,3906100000.0,2016-01-01 00:00:00+00:00
Noble Energy,Q2659099,New York Stock Exchange,NBL,petroleum industry,,,http://www.wikidata.org/entity/Q2659099,3901000000.0,2008-01-01 00:00:00+00:00
Stifel,Q7616390,New York Stock Exchange,SF,investment,,,http://www.wikidata.org/entity/Q7616390,3817839000.0,2020-01-01 00:00:00+00:00
Chord Energy Corporation,Q20486949,New York Stock Exchange,WLL,petroleum industry,,,http://www.wikidata.org/entity/Q20486949,3646794000.0,2022-01-01 00:00:00+00:00
Starz Entertainment,Q515869,New York Stock Exchange,LGF,show business,3430000000.0,2022-03-29 00:00:00+00:00,http://www.wikidata.org/entity/Q515869,3604300000.0,2022-01-01 00:00:00+00:00
Skechers,Q2945643,New York Stock Exchange,SKX,clothing industry,,,http://www.wikidata.org/entity/Q2945643,3563311000.0,2016-01-01 00:00:00+00:00
Elbit Systems Ltd.,Q1325369,Nasdaq,ESLT,weapons industry,29085365000.0,2022-11-15 00:00:00+00:00,http://www.wikidata.org/entity/Q1325369,3500000000.0,2018-01-01 00:00:00+00:00
CACI,Q1022711,New York Stock Exchange,CACI,information technology industry,,,http://www.wikidata.org/entity/Q1022711,3490000000.0,2018-01-01 00:00:00+00:00
TFI International,Q7833614,New York Stock Exchange,TFII,logistics,,,http://www.wikidata.org/entity/Q7833614,3484000000.0,2020-01-01 00:00:00+00:00
ServiceNow,Q7455653,New York Stock Exchange,NOW,enterprise software,,,http://www.wikidata.org/entity/Q7455653,3460437000.0,2019-12-31 00:00:00+00:00
NetApp,Q727883,Nasdaq,NTAP,,,,http://www.wikidata.org/entity/Q727883,3406000000.0,2009-01-01 00:00:00+00:00
Take-Two Interactive,Q94933,Nasdaq,TTWO,video game industry,17840000000.0,2022-02-04 00:00:00+00:00,http://www.wikidata.org/entity/Q94933,3372772000.0,2021-03-31 00:00:00+00:00
Citrix Systems,Q916196,Nasdaq,CTXS,technology,,,http://www.wikidata.org/entity/Q916196,3236700000.0,2020-01-01 00:00:00+00:00
Moderna,Q17081612,Nasdaq,MRNA,pharmaceutical industry,9456000000.0,2025-05-08 00:00:00+00:00,http://www.wikidata.org/entity/Q17081612,3236000000.0,2024-01-01 00:00:00+00:00
Shopify,Q7501150,New York Stock Exchange,SHOP,e-commerce,47750000000.0,2022-01-05 00:00:00+00:00,http://www.wikidata.org/entity/Q7501150,3231000000.0,2021-01-01 00:00:00+00:00
