company_id,company,exchange,ticker,industry,market_cap,market_cap_date,company_url,revenue,revenue_date,primary_ticker
Q14903417,Delhaize Le Lion,New York Stock Exchange,DEG,food retail sector,,,http://www.wikidata.org/entity/Q14903417,,,DEG
Q14914829,"Thryv, Inc.",Nasdaq,THRY,communications media,,,http://www.wikidata.org/entity/Q14914829,,,THRY
Q1494132,Gardner Denver,New York Stock Exchange,,mechanical engineering,,,http://www.wikidata.org/entity/Q1494132,,,
Q14993631,Science Applications International Corporation,New York Stock Exchange,SAIC,information technology,,,http://www.wikidata.org/entity/Q14993631,2800000000.0,2018-01-01 00:00:00+00:00,SAIC
Q1501630,Interpublic Group of Companies,New York Stock Exchange,IPG,marketing,,,http://www.wikidata.org/entity/Q1501630,,,IPG
Q1502712,Genworth Financial,New York Stock Exchange,GNW,financial services,,,http://www.wikidata.org/entity/Q1502712,,,GNW
Q1502794,GEO Group,New York Stock Exchange,GEO,real estate investment trust,,,http://www.wikidata.org/entity/Q1502794,,,GEO
Q15030582,CooperVision,New York Stock Exchange,,,,,http://www.wikidata.org/entity/Q15030582,,,
Q1503728,Rowan Companies,New York Stock Exchange,,petroleum industry,,,http://www.wikidata.org/entity/Q1503728,,,
Q1503753,Vedanta Resources,New York Stock Exchange,VEDL,mining,,,http://www.wikidata.org/entity/Q1503753,,,VEDL
Q1506045,Las Vegas Sands,New York Stock Exchange,LVS,gambling,,,http://www.wikidata.org/entity/Q1506045,4110000000.0,2022-01-01 00:00:00+00:00,LVS
Q1507228,Harmony Gold,New York Stock Exchange,HMY,,,,http://www.wikidata.org/entity/Q1507228,,,HMY
Q1507642,Huaneng Power International,New York Stock Exchange,HNP,electric power industry,,,http://www.wikidata.org/entity/Q1507642,113814236000.0,2016-01-01 00:00:00+00:00,HNP
Q1508234,Safeway,New York Stock Exchange,SWY,retail,,,http://www.wikidata.org/entity/Q1508234,,,SWY
Q1508526,"Sturm, Ruger & Co.",Nasdaq; New York Stock Exchange,RGR,weapons industry,,,http://www.wikidata.org/entity/Q1508526,,,RGR
Q1509038,Tenneco,New York Stock Exchange,TEN,automotive part,,,http://www.wikidata.org/entity/Q1509038,,,TEN
Q1510378,Illinois Tool Works,New York Stock Exchange,ITW,industrial manufacturing,,,http://www.wikidata.org/entity/Q1510378,,,ITW
Q15109846,Sarepta Therapeutics,Nasdaq,SRPT,pharmaceutical industry,,,http://www.wikidata.org/entity/Q15109846,,,SRPT
Q15109850,Brooktree,Nasdaq,CNXT,,,,http://www.wikidata.org/entity/Q15109850,,,CNXT
Q15109854,California Pizza Kitchen,Nasdaq,,hospitality industry,,,http://www.wikidata.org/entity/Q15109854,,,
Q15109862,Craft Brew Alliance,Nasdaq,BREW,brewing industry,,,http://www.wikidata.org/entity/Q15109862,,,BREW
Q15109865,Dexcom,Nasdaq,DXCM,,,,http://www.wikidata.org/entity/Q15109865,,,DXCM
Q15109878,GTSI Corp.,Nasdaq,,,,,http://www.wikidata.org/entity/Q15109878,,,
Q15109880,Harmonic Inc.,Nasdaq,HLIT,,,,http://www.wikidata.org/entity/Q15109880,,,HLIT
Q15109885,I.D. Systems,Nasdaq,IDSY,,,,http://www.wikidata.org/entity/Q15109885,,,IDSY
Q15109887,II-VI Incorporated,Nasdaq,COHR,,,,http://www.wikidata.org/entity/Q15109887,,,COHR
Q15109891,Innospec,Nasdaq,IOSP,petroleum,,,http://www.wikidata.org/entity/Q15109891,,,IOSP
